网络接口号,IP地址,Netmask,MAC地址,状态,MTU,RX包数,TX包数
ens3,192.168.10.34,255.255.255.0,0C:DA:41:1D:A1:CF,UP,1500,9602162,214577
ens10,10.2.4.1,255.255.255.0,0C:DA:41:1D:56:8A,UP,1500,13848573,15265631
ens11,10.12.3.3,255.255.255.0,0C:DA:41:1D:A9:E5,UP,1500,32921600,46513931
ens12,10.12.4.2,255.255.255.0,0C:DA:41:1D:CA:53,UP,1500,31136610,21412727
ens13,10.21.4.5,255.255.255.0,0C:DA:41:1D:23:9A,UP,1500,21045184,8219950
ens14,10.22.4.4,255.255.255.0,0C:DA:41:1D:48:55,UP,1500,7054667,14875501
