网络接口号,IP地址,Netmask,MAC地址,状态,MTU,RX包数,TX包数
ens3,192.168.10.25,255.255.255.0,0C:DA:41:1D:84:5E,UP,1500,9625971,217545
ens10,10.1.5.1,255.255.255.0,0C:DA:41:1D:DE:20,UP,1500,16872806,16679662
ens11,10.11.4.3,255.255.255.0,0C:DA:41:1D:B9:48,UP,1500,17075520,21452262
ens12,10.21.5.4,255.255.255.0,0C:DA:41:1D:35:87,UP,1500,11332134,7389249
