网络接口号,IP地址,Netmask,MAC地址,状态,MTU,RX包数,TX包数
ens3,192.168.10.21,255.255.255.0,0C:DA:41:1D:E7:CB,UP,1500,9895794,461170
ens10,10.1.1.1,255.255.255.0,0C:DA:41:1D:BF:71,UP,1500,8912957,6337887
ens11,10.11.1.2,255.255.255.0,0C:DA:41:1D:7D:FB,UP,1500,10230759,14856816
ens12,10.21.1.4,255.255.255.0,0C:DA:41:1D:EA:85,UP,1500,7701736,5798291
