接口名,直连节点,对端IP,本机IP,带宽Bandwidth,丢包率loss,直连节点Latency,直连节点jitter
ens3,r001002,192.168.10.22,192.168.10.23,1GByte/s,,0.47,
ens10,r001002,10.11.2.2,10.11.2.3,1GByte/s,,0.3,
ens11,r002003,10.21.3.5,10.21.3.4,1GByte/s,,0.32,
ens13,r001004,10.11.3.3,10.11.3.2,1GByte/s,,0.51,
