接口名,直连节点,对端IP,本机IP,带宽Bandwidth,丢包率loss,直连节点Latency,直连节点jitter
ens3,r001004,192.168.10.24,192.168.10.25,1GByte/s,,0.66,
ens11,r001004,10.11.4.2,10.11.4.3,1GByte/s,,0.26,
ens12,r002005,10.21.5.5,10.21.5.4,1GByte/s,,0.34,
