网络接口号,IP地址,Netmask,MAC地址,状态,MTU,RX包数,TX包数
ens3,192.168.10.45,255.255.255.0,0C:DA:41:1D:E8:AC,UP,1500,9611909,216645
ens10,10.3.5.1,255.255.255.0,0C:DA:41:1D:49:17,UP,1500,8496861,6036229
ens11,10.13.4.3,255.255.255.0,0C:DA:41:1D:AF:59,UP,1500,11257316,10030354
ens12,10.22.5.5,255.255.255.0,0C:DA:41:1D:2E:32,UP,1500,6958691,10895849
ens13,10.100.20.5,255.255.0.0,0C:DA:41:1D:B3:B7,UP,1500,116350,166951
