接口名,直连节点,对端IP,本机IP,带宽Bandwidth,丢包率loss,直连节点Latency,直连节点jitter
ens3,r001004,192.168.10.24,192.168.10.34,1GByte/s,,0.55,
ens11,r002003,10.12.3.2,10.12.3.3,1GByte/s,,0.51,
ens12,r002005,10.12.4.3,10.12.4.2,1GByte/s,,0.28,
ens13,r001004,10.21.4.4,10.21.4.5,1GByte/s,,0.3,
ens14,r003004,10.22.4.5,10.22.4.4,1GByte/s,,0.36,
