接口名,直连节点,对端IP,本机IP,带宽Bandwidth,丢包率loss,直连节点Latency,直连节点jitter
ens3,r001002,192.168.10.22,192.168.10.32,1GByte/s,,0.38,
ens10,r002001,10.12.1.2,10.12.1.3,1GByte/s,,0.5,
ens11,r001002,10.21.2.4,10.21.2.5,1GByte/s,,0.35,
ens12,r002003,10.12.2.3,10.12.2.2,1GByte/s,,0.4,
ens13,r003002,10.22.2.5,10.22.2.4,1GByte/s,,0.34,
