网络接口号,IP地址,Netmask,MAC地址,状态,MTU,RX包数,TX包数
ens3,192.168.10.35,255.255.255.0,0C:DA:41:1D:16:5D,UP,1500,9627398,225847
ens10,10.2.5.1,255.255.255.0,0C:DA:41:1D:CD:45,UP,1500,22320905,12768557
ens11,10.12.4.3,255.255.255.0,0C:DA:41:1E:02:02,UP,1500,21412023,31137430
ens12,10.21.5.5,255.255.255.0,0C:DA:41:1D:AA:5A,UP,1500,7388396,11332829
ens13,10.22.5.4,255.255.255.0,0C:DA:41:1D:80:F4,UP,1500,10895374,6959856
