网络接口号,IP地址,Netmask,MAC地址,状态,MTU,RX包数,TX包数
ens3,192.168.10.32,255.255.255.0,0C:DA:41:1D:8D:7B,UP,1500,37410739,281899
ens10,10.12.1.3,255.255.255.0,0C:DA:41:1D:5D:B3,UP,1500,13432152,13072928
ens11,10.21.2.5,255.255.255.0,0C:DA:41:1D:3A:09,UP,1500,10710864,10288043
ens12,10.12.2.2,255.255.255.0,0C:DA:41:1D:10:7D,UP,1500,22961299,32971665
ens13,10.22.2.4,255.255.255.0,0C:DA:41:1D:D9:9A,UP,1500,12640939,8173810
ens14,10.2.2.1,255.255.255.0,0C:DA:41:1D:4D:A3,UP,1500,10744260,6326718
