接口名,直连节点,对端IP,本机IP,带宽Bandwidth,丢包率loss,直连节点Latency,直连节点jitter
ens3,r001003,192.168.10.23,192.168.10.24,1GByte/s,,1.0,
ens11,r001003,10.11.3.2,10.11.3.3,1GByte/s,,0.5,
ens12,r001005,10.11.4.3,10.11.4.2,1GByte/s,,0.29,
ens13,r002004,10.21.4.5,10.21.4.4,1GByte/s,,0.2,
