接口名,直连节点,对端IP,本机IP,带宽Bandwidth,丢包率loss,直连节点Latency,直连节点jitter
ens3,r001001,192.168.10.21,192.168.10.22,1GByte/s,,0.19,
ens10,r001001,10.11.1.2,10.11.1.3,1GByte/s,,0.25,
ens11,r002002,10.21.2.5,10.21.2.4,1GByte/s,,0.37,
ens12,r001003,10.11.2.3,10.11.2.2,1GByte/s,,0.25,
