接口名,直连节点,对端IP,本机IP,带宽Bandwidth,丢包率loss,直连节点Latency,直连节点jitter
ens3,r002001,192.168.10.31,192.168.10.41,1GByte/s,,0.64,
ens11,r002001,10.22.1.4,10.22.1.5,1GByte/s,,0.39,
ens12,r003002,10.13.1.3,10.13.1.2,1GByte/s,,0.32,
