网络接口号,IP地址,Netmask,MAC地址,状态,MTU,RX包数,TX包数
ens3,192.168.10.33,255.255.255.0,0C:DA:41:1D:21:01,UP,1500,38358399,320335
ens10,10.12.2.3,255.255.255.0,0C:DA:41:1D:F0:24,UP,1500,32956953,22973171
ens11,10.21.3.5,255.255.255.0,0C:DA:41:1D:76:DD,UP,1500,28754697,28517172
ens12,10.22.3.4,255.255.255.0,0C:DA:41:1D:A8:93,UP,1500,47648529,61325930
ens13,10.2.3.1,255.255.255.0,0C:DA:41:1D:46:6F,UP,1500,91046947,101412518
ens14,10.12.3.2,255.255.255.0,0C:DA:41:1D:C6:90,UP,1500,46515366,32920587
