接口名,直连节点,对端IP,本机IP,带宽Bandwidth,丢包率loss,直连节点Latency,直连节点jitter
ens3,r002003,192.168.10.33,192.168.10.43,1GByte/s,,0.55,
ens11,r003002,10.13.2.2,10.13.2.3,1GByte/s,,0.28,
ens12,r002003,10.22.3.4,10.22.3.5,1GByte/s,,0.27,
ens13,r003004,10.13.3.3,10.13.3.2,1GByte/s,,0.4,
