Time_UTCG,SatId,FrontId,FrontRangeKm,FrontDelayMs,BackId,BackRangeKm,BackDelayMs,LeftId,LeftRangeKm,LeftDelayMs,RightId,RightRangeKm,RightDelayMs
15 Dec 2025 00:06:20.000,Sat_1_1,Sat_1_2,3316.0234168604156,11.061063507009292,Sat_1_13,3316.0234168604143,11.061063507009287,Sat_15_2,2397.839551846936,7.998331805421658,Sat_2_13,2202.9855277034076,7.348368742830107
15 Dec 2025 00:06:20.000,Sat_1_2,Sat_1_3,3316.0234168604165,11.061063507009296,Sat_1_1,3316.023416860415,11.06106350700929,Sat_15_3,1831.1773677022804,6.10815021804945,Sat_2_1,1640.3686137739953,5.471680724449697
15 Dec 2025 00:06:20.000,Sat_1_3,Sat_1_4,3316.0234168604147,11.061063507009289,Sat_1_2,3316.0234168604165,11.061063507009296,Sat_15_4,1565.0335543797153,5.220390015214177,Sat_2_2,705.0113707923114,2.3516648000274625
15 Dec 2025 00:06:20.000,Sat_1_4,Sat_1_5,3316.0234168604165,11.061063507009296,Sat_1_3,3316.023416860415,11.06106350700929,Sat_15_4,1858.4873641933286,6.199246560743462,Sat_2_3,408.62253387343975,1.3630180578907016
15 Dec 2025 00:06:20.000,Sat_1_5,Sat_1_6,3316.0234168604134,11.061063507009285,Sat_1_4,3316.023416860415,11.06106350700929,Sat_15_5,2369.8758045691156,7.905054784830896,Sat_2_4,1409.1627990945285,4.700461140668618
15 Dec 2025 00:06:20.000,Sat_1_6,Sat_1_7,3316.0234168604175,11.0610635070093,Sat_1_5,3316.023416860414,11.061063507009287,Sat_15_7,2775.5718568283414,9.258311150804007,Sat_2_5,2093.3618317836,6.9827034534124275
15 Dec 2025 00:06:20.000,Sat_1_7,Sat_1_8,3316.0234168604165,11.061063507009296,Sat_1_6,3316.0234168604175,11.0610635070093,Sat_15_8,2619.7632628413708,8.738589624030405,Sat_2_6,2299.1399010106015,7.669105208145702
15 Dec 2025 00:06:20.000,Sat_1_8,Sat_1_9,3316.0234168604156,11.061063507009292,Sat_1_7,3316.023416860416,11.061063507009294,Sat_15_9,2117.2911919003213,7.062523206972477,Sat_2_7,1979.0264383682413,6.601321632875239
15 Dec 2025 00:06:20.000,Sat_1_9,Sat_1_10,3316.023416860411,11.061063507009276,Sat_1_8,3316.0234168604165,11.061063507009296,Sat_15_10,1618.4262339410554,5.3984888236950095,Sat_2_8,1206.9537361477949,4.025964309441684
15 Dec 2025 00:06:20.000,Sat_1_10,Sat_1_11,3316.0234168604125,11.061063507009282,Sat_1_9,3316.0234168604115,11.061063507009278,Sat_15_11,1697.7128954810846,5.662960658873828,Sat_2_9,177.69405824596382,0.5927235776090265
15 Dec 2025 00:06:20.000,Sat_1_11,Sat_1_12,3316.0234168604243,11.06106350700932,Sat_1_10,3316.0234168604125,11.061063507009282,Sat_15_11,2095.3698657698687,6.989401533809996,Sat_2_10,933.9243852797613,3.1152364255933396
15 Dec 2025 00:06:20.000,Sat_1_12,Sat_1_13,3316.023416860413,11.061063507009283,Sat_1_11,3316.023416860425,11.061063507009322,Sat_15_12,2617.3236706482853,8.730452020405014,Sat_2_11,1803.4556605180944,6.015680556307038
15 Dec 2025 00:06:20.000,Sat_1_13,Sat_1_1,3316.0234168604143,11.061063507009287,Sat_1_12,3316.0234168604134,11.061063507009285,Sat_15_1,2751.0728699117158,9.17659132676285,Sat_2_12,2261.873302385615,7.544797215631138
15 Dec 2025 00:06:20.000,Sat_2_1,Sat_2_2,3316.023416860415,11.06106350700929,Sat_2_13,3316.0234168604093,11.06106350700927,Sat_1_2,1640.3686137739953,5.471680724449697,Sat_3_1,1979.0264383682422,6.601321632875242
15 Dec 2025 00:06:20.000,Sat_2_2,Sat_2_3,3316.023416860414,11.061063507009287,Sat_2_1,3316.023416860416,11.061063507009294,Sat_1_3,705.0113707923114,2.3516648000274625,Sat_3_2,1206.9537361477949,4.025964309441684
15 Dec 2025 00:06:20.000,Sat_2_3,Sat_2_4,3316.023416860415,11.06106350700929,Sat_2_2,3316.023416860414,11.061063507009287,Sat_1_4,408.6225338734397,1.3630180578907014,Sat_3_3,177.69405824596333,0.5927235776090249
15 Dec 2025 00:06:20.000,Sat_2_4,Sat_2_5,3316.023416860415,11.06106350700929,Sat_2_3,3316.023416860415,11.06106350700929,Sat_1_5,1409.1627990945285,4.700461140668618,Sat_3_4,933.9243852797612,3.115236425593339
15 Dec 2025 00:06:20.000,Sat_2_5,Sat_2_6,3316.023416860415,11.06106350700929,Sat_2_4,3316.023416860415,11.06106350700929,Sat_1_6,2093.3618317836003,6.982703453412429,Sat_3_5,1803.4556605180949,6.01568055630704
15 Dec 2025 00:06:20.000,Sat_2_6,Sat_2_7,3316.0234168604156,11.061063507009292,Sat_2_5,3316.0234168604156,11.061063507009292,Sat_1_7,2299.1399010106015,7.669105208145702,Sat_3_6,2261.8733023856134,7.544797215631133
15 Dec 2025 00:06:20.000,Sat_2_7,Sat_2_8,3316.0234168604197,11.061063507009305,Sat_2_6,3316.0234168604156,11.061063507009292,Sat_1_8,1979.0264383682413,6.601321632875239,Sat_3_7,2202.985527703408,7.348368742830108
15 Dec 2025 00:06:20.000,Sat_2_8,Sat_2_9,3316.0234168604125,11.061063507009282,Sat_2_7,3316.0234168604193,11.061063507009305,Sat_1_9,1206.9537361477949,4.025964309441684,Sat_3_8,1640.368613773995,5.471680724449696
