接口名,直连节点,对端IP,本机IP,带宽Bandwidth,丢包率loss,直连节点Latency,直连节点jitter
ens3,r001002,192.168.10.22,192.168.10.21,1GByte/s,,0.29,
ens11,r001002,10.11.1.3,10.11.1.2,1GByte/s,,0.34,
ens12,r002001,10.21.1.5,10.21.1.4,1GByte/s,,0.28,
