接口名,直连节点,对端IP,本机IP,带宽Bandwidth,丢包率loss,直连节点Latency,直连节点jitter
ens3,r001001,192.168.10.21,192.168.10.31,1GByte/s,,0.39,
ens10,r001001,10.21.1.4,10.21.1.5,1GByte/s,,0.24,
ens11,r002002,10.12.1.3,10.12.1.2,1GByte/s,,0.28,
ens12,r003001,10.22.1.5,10.22.1.4,1GByte/s,,0.27,
