接口名,直连节点,对端IP,本机IP,带宽Bandwidth,丢包率loss,直连节点Latency,直连节点jitter
ens3,r001003,192.168.10.23,192.168.10.33,1GByte/s,,0.56,
ens10,r002002,10.12.2.2,10.12.2.3,1GByte/s,,0.32,
ens11,r001003,10.21.3.4,10.21.3.5,1GByte/s,,0.32,
ens12,r003003,10.22.3.5,10.22.3.4,1GByte/s,,0.29,
ens14,r002004,10.12.3.3,10.12.3.2,1GByte/s,,0.43,
