接口名,直连节点,对端IP,本机IP,带宽Bandwidth,丢包率loss,直连节点Latency,直连节点jitter
ens3,r002005,192.168.10.35,192.168.10.45,1GByte/s,,0.56,
ens11,r003004,10.13.4.2,10.13.4.3,1GByte/s,,0.32,
ens12,r002005,10.22.5.4,10.22.5.5,1GByte/s,,0.33,
