接口名,直连节点,对端IP,本机IP,带宽Bandwidth,丢包率loss,直连节点Latency,直连节点jitter
ens3,r002002,192.168.10.32,192.168.10.42,1GByte/s,,0.45,
ens10,r003001,10.13.1.2,10.13.1.3,1GByte/s,,0.28,
ens11,r002002,10.22.2.4,10.22.2.5,1GByte/s,,0.39,
ens12,r003003,10.13.2.3,10.13.2.2,1GByte/s,,0.3,
