接口名,直连节点,对端IP,本机IP,带宽Bandwidth,丢包率loss,直连节点Latency,直连节点jitter
ens3,r001005,192.168.10.25,192.168.10.35,1GByte/s,,0.59,
ens11,r002004,10.12.4.2,10.12.4.3,1GByte/s,,0.27,
ens12,r001005,10.21.5.4,10.21.5.5,1GByte/s,,0.28,
ens13,r003005,10.22.5.5,10.22.5.4,1GByte/s,,0.35,
