时间戳,数值,指标名称,实例地址,数值_百分比,计量单位,容器实例,endpoint,任务名称,命名空间,容器名称,service,数值_GB,数值_MB,设备名称,文件系统类型,挂载点,数值_MBps
2026-01-08 22:22:59.486,23654825984,磁盘使用量,10.1.2.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-08 23:22:59.486,23663988736,磁盘使用量,10.1.2.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 00:22:59.486,23664779264,磁盘使用量,10.1.2.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 01:22:59.486,23665561600,磁盘使用量,10.1.2.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 02:22:59.486,23666335744,磁盘使用量,10.1.2.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 03:22:59.486,23683891200,磁盘使用量,10.1.2.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 04:22:59.486,23693103104,磁盘使用量,10.1.2.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 05:22:59.486,23693877248,磁盘使用量,10.1.2.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 06:22:59.486,23703031808,磁盘使用量,10.1.2.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 07:22:59.486,23703810048,磁盘使用量,10.1.2.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 08:22:59.486,23704580096,磁盘使用量,10.1.2.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 09:22:59.486,23716184064,磁盘使用量,10.1.2.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
2026-01-09 10:22:59.486,23725346816,磁盘使用量,10.1.2.10:9100,,,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,,,/dev/vda3,ext4,/,
