时间戳,数值,指标名称,实例地址,数值_百分比,计量单位,容器实例,endpoint,任务名称,命名空间,容器名称,service,数值_GB,数值_MB,设备名称,文件系统类型,挂载点,数值_MBps
2026-01-08 22:22:59.486,1274277888,内存使用量,10.1.2.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,1.18676376342773,1215.24609375,,,,
2026-01-08 23:22:59.486,1280520192,内存使用量,10.1.2.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,1.19257736206055,1221.19921875,,,,
2026-01-09 00:22:59.486,1274277888,内存使用量,10.1.2.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,1.18676376342773,1215.24609375,,,,
2026-01-09 01:22:59.486,1279045632,内存使用量,10.1.2.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,1.19120407104492,1219.79296875,,,,
2026-01-09 02:22:59.486,1273090048,内存使用量,10.1.2.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,1.1856575012207,1214.11328125,,,,
2026-01-09 03:22:59.486,1275555840,内存使用量,10.1.2.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,1.18795394897461,1216.46484375,,,,
2026-01-09 04:22:59.486,1290047488,内存使用量,10.1.2.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,1.20145034790039,1230.28515625,,,,
2026-01-09 05:22:59.486,1290510336,内存使用量,10.1.2.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,1.20188140869141,1230.7265625,,,,
2026-01-09 06:22:59.486,1277517824,内存使用量,10.1.2.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,1.18978118896484,1218.3359375,,,,
2026-01-09 07:22:59.486,1274552320,内存使用量,10.1.2.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,1.18701934814453,1215.5078125,,,,
2026-01-09 08:22:59.486,1270652928,内存使用量,10.1.2.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,1.18338775634766,1211.7890625,,,,
2026-01-09 09:22:59.486,1277296640,内存使用量,10.1.2.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,1.1895751953125,1218.125,,,,
2026-01-09 10:22:59.486,1275768832,内存使用量,10.1.2.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,1.18815231323242,1216.66796875,,,,
2026-01-09 11:22:59.486,1273290752,内存使用量,10.1.2.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-7shl9,kube-prometheus-stack-prometheus-node-exporter,1.18584442138672,1214.3046875,,,,
2026-01-08 19:22:59.486,1950507008,内存使用量,10.1.3.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,1.81655120849609,1860.1484375,,,,
2026-01-08 20:22:59.486,1954590720,内存使用量,10.1.3.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,1.82035446166992,1864.04296875,,,,
2026-01-08 21:22:59.486,1959182336,内存使用量,10.1.3.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,1.82463073730469,1868.421875,,,,
2026-01-08 22:22:59.486,1957154816,内存使用量,10.1.3.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,1.8227424621582,1866.48828125,,,,
2026-01-08 23:22:59.486,1970544640,内存使用量,10.1.3.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,1.83521270751953,1879.2578125,,,,
2026-01-09 00:22:59.486,1965408256,内存使用量,10.1.3.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,1.83042907714844,1874.359375,,,,
2026-01-09 01:22:59.486,1962061824,内存使用量,10.1.3.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,1.82731246948242,1871.16796875,,,,
2026-01-09 02:22:59.486,1956495360,内存使用量,10.1.3.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,1.82212829589844,1865.859375,,,,
2026-01-09 03:22:59.486,1957818368,内存使用量,10.1.3.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,1.82336044311523,1867.12109375,,,,
2026-01-09 04:22:59.486,1961000960,内存使用量,10.1.3.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,1.82632446289062,1870.15625,,,,
2026-01-09 05:22:59.486,1961857024,内存使用量,10.1.3.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,1.82712173461914,1870.97265625,,,,
2026-01-09 06:22:59.486,1947975680,内存使用量,10.1.3.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,1.81419372558594,1857.734375,,,,
2026-01-09 07:22:59.486,1951965184,内存使用量,10.1.3.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,1.81790924072266,1861.5390625,,,,
2026-01-09 08:22:59.486,1944899584,内存使用量,10.1.3.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,1.81132888793945,1854.80078125,,,,
2026-01-09 09:22:59.486,1951125504,内存使用量,10.1.3.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,1.8171272277832,1860.73828125,,,,
2026-01-09 10:22:59.486,1962377216,内存使用量,10.1.3.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,1.82760620117187,1871.46875,,,,
2026-01-09 11:22:59.486,1952247808,内存使用量,10.1.3.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-mbsdt,kube-prometheus-stack-prometheus-node-exporter,1.81817245483398,1861.80859375,,,,
2026-01-08 19:22:59.486,1281220608,内存使用量,10.1.4.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,1.19322967529297,1221.8671875,,,,
2026-01-08 20:22:59.486,1280106496,内存使用量,10.1.4.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,1.19219207763672,1220.8046875,,,,
2026-01-08 21:22:59.486,1282048000,内存使用量,10.1.4.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,1.19400024414062,1222.65625,,,,
2026-01-08 22:22:59.486,1284005888,内存使用量,10.1.4.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,1.19582366943359,1224.5234375,,,,
2026-01-08 23:22:59.486,1272369152,内存使用量,10.1.4.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,1.18498611450195,1213.42578125,,,,
2026-01-09 00:22:59.486,1278767104,内存使用量,10.1.4.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,1.19094467163086,1219.52734375,,,,
2026-01-09 01:22:59.486,1280929792,内存使用量,10.1.4.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,1.19295883178711,1221.58984375,,,,
2026-01-09 02:22:59.486,1275817984,内存使用量,10.1.4.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,1.18819808959961,1216.71484375,,,,
2026-01-09 03:22:59.486,1292722176,内存使用量,10.1.4.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,1.20394134521484,1232.8359375,,,,
2026-01-09 04:22:59.486,1284235264,内存使用量,10.1.4.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,1.19603729248047,1224.7421875,,,,
2026-01-09 05:22:59.486,1276035072,内存使用量,10.1.4.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,1.18840026855469,1216.921875,,,,
2026-01-09 06:22:59.486,1286139904,内存使用量,10.1.4.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,1.19781112670898,1226.55859375,,,,
2026-01-09 07:22:59.486,1297244160,内存使用量,10.1.4.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,1.20815277099609,1237.1484375,,,,
2026-01-09 08:22:59.486,1307512832,内存使用量,10.1.4.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,1.21771621704102,1246.94140625,,,,
2026-01-09 09:22:59.486,1286717440,内存使用量,10.1.4.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,1.19834899902344,1227.109375,,,,
2026-01-09 10:22:59.486,1291300864,内存使用量,10.1.4.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,1.20261764526367,1231.48046875,,,,
2026-01-09 11:22:59.486,1287737344,内存使用量,10.1.4.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-pbhfz,kube-prometheus-stack-prometheus-node-exporter,1.19929885864258,1228.08203125,,,,
2026-01-08 19:22:59.486,1223929856,内存使用量,10.1.5.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,1.13987350463867,1167.23046875,,,,
2026-01-08 20:22:59.486,1230503936,内存使用量,10.1.5.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,1.14599609375,1173.5,,,,
2026-01-08 21:22:59.486,1222479872,内存使用量,10.1.5.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,1.13852310180664,1165.84765625,,,,
2026-01-08 22:22:59.486,1230692352,内存使用量,10.1.5.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,1.14617156982422,1173.6796875,,,,
2026-01-08 23:22:59.486,1217769472,内存使用量,10.1.5.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,1.13413619995117,1161.35546875,,,,
2026-01-09 00:22:59.486,1223299072,内存使用量,10.1.5.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,1.13928604125977,1166.62890625,,,,
2026-01-09 01:22:59.486,1234423808,内存使用量,10.1.5.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,1.1496467590332,1177.23828125,,,,
2026-01-09 02:22:59.486,1233698816,内存使用量,10.1.5.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,1.14897155761719,1176.546875,,,,
2026-01-09 03:22:59.486,1230041088,内存使用量,10.1.5.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,1.14556503295898,1173.05859375,,,,
2026-01-09 04:22:59.486,1232834560,内存使用量,10.1.5.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,1.14816665649414,1175.72265625,,,,
2026-01-09 05:22:59.486,1235378176,内存使用量,10.1.5.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,1.15053558349609,1178.1484375,,,,
2026-01-09 06:22:59.486,1233195008,内存使用量,10.1.5.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,1.14850234985352,1176.06640625,,,,
2026-01-09 07:22:59.486,1235460096,内存使用量,10.1.5.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,1.15061187744141,1178.2265625,,,,
2026-01-09 08:22:59.486,1236066304,内存使用量,10.1.5.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,1.15117645263672,1178.8046875,,,,
2026-01-09 09:22:59.486,1237512192,内存使用量,10.1.5.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,1.15252304077148,1180.18359375,,,,
2026-01-09 10:22:59.486,1236848640,内存使用量,10.1.5.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,1.15190505981445,1179.55078125,,,,
2026-01-09 11:22:59.486,1238360064,内存使用量,10.1.5.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-p8bfs,kube-prometheus-stack-prometheus-node-exporter,1.15331268310547,1180.9921875,,,,
2026-01-08 19:22:59.486,1256865792,内存使用量,10.2.1.10:9100,,GB,node-exporter,http-metrics,node-exporter,monitoring,kube-prometheus-stack-prometheus-node-exporter-d2hwv,kube-prometheus-stack-prometheus-node-exporter,1.17054748535156,1198.640625,,,,
