PlaneIdx,SatId,Side,OldNeighborSatId,NewNeighborSatId,StartTime_UTCG,EndTime_UTCG,Duration_sec,Duration_min
1,Sat_1_1,Left,Sat_15_2,Sat_15_1,2025-12-15 18:48:45.899,2025-12-15 18:57:57.337,551.44,9.19
1,Sat_1_1,Left,Sat_15_1,Sat_15_2,2025-12-15 19:05:54.370,2025-12-15 19:31:19.904,1525.53,25.43
1,Sat_1_1,Left,Sat_15_2,Sat_15_1,2025-12-15 19:36:32.395,2025-12-15 19:45:47.779,555.38,9.26
1,Sat_1_1,Left,Sat_15_1,Sat_15_2,2025-12-15 19:53:43.625,2025-12-15 20:19:09.578,1525.95,25.43
1,Sat_1_1,Left,Sat_15_2,Sat_15_1,2025-12-15 20:24:17.878,2025-12-15 20:33:38.376,560.50,9.34
1,Sat_1_1,Left,Sat_15_1,Sat_15_2,2025-12-15 20:41:32.942,2025-12-15 21:06:59.139,1526.20,25.44
1,Sat_1_1,Left,Sat_15_2,Sat_15_1,2025-12-15 21:12:02.167,2025-12-15 21:21:29.109,566.94,9.45
1,Sat_1_1,Left,Sat_15_2,Sat_15_1,2025-12-15 21:59:53.270,2025-12-15 22:09:19.964,566.69,9.44
1,Sat_1_1,Left,Sat_15_2,Sat_15_1,2025-12-15 22:47:45.387,2025-12-15 22:57:10.924,565.54,9.43
1,Sat_1_1,Left,Sat_15_2,Sat_15_1,2025-12-15 23:35:37.338,2025-12-15 23:45:01.979,564.64,9.41
1,Sat_1_1,Left,Sat_15_1,Sat_15_2,2025-12-15 23:52:50.702,2025-12-16 00:00:00.000,429.30,7.15
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 00:21:19.492,2025-12-15 00:30:39.379,559.89,9.33
1,Sat_1_2,Left,Sat_15_2,Sat_15_3,2025-12-15 00:38:34.087,2025-12-15 01:04:00.267,1526.18,25.44
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 01:09:03.919,2025-12-15 01:18:30.099,566.18,9.44
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 01:56:54.109,2025-12-15 02:06:20.941,566.83,9.45
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 02:44:46.242,2025-12-15 02:54:11.891,565.65,9.43
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 03:32:38.212,2025-12-15 03:42:02.936,564.72,9.41
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 04:20:29.992,2025-12-15 04:29:50.904,560.91,9.35
1,Sat_1_2,Left,Sat_15_3,Sat_15_2,2025-12-15 05:08:21.555,2025-12-15 05:17:37.885,556.33,9.27
