Time_UTCG,SatId,FrontId,FrontRangeKm,BackId,BackRangeKm,LeftId,LeftRangeKm,LeftChanged,RightId,RightRangeKm,RightChanged
'15 Dec 2025 03:00:00.000,Sat_1_2,Sat_1_3,3316.023416860403,Sat_1_1,3316.023416860391,Sat_15_3,2779.5950289593984,1,Sat_2_1,2138.6201696344833,0
'15 Dec 2025 04:00:00.000,Sat_1_2,Sat_1_3,3316.023416860391,Sat_1_1,3316.0234168603906,Sat_15_3,2257.51929375725,0,Sat_2_1,2102.639704815685,0
'15 Dec 2025 05:00:00.000,Sat_1_2,Sat_1_3,3316.0234168603947,Sat_1_1,3316.0234168603943,Sat_15_3,1560.4051778549524,0,Sat_2_1,795.9811008560357,0
'15 Dec 2025 06:00:00.000,Sat_1_2,Sat_1_3,3316.0234168603924,Sat_1_1,3316.023416860367,Sat_15_2,2131.9807208797283,1,Sat_2_1,1001.9641595255991,0
'15 Dec 2025 07:00:00.000,Sat_1_2,Sat_1_3,3316.023416860394,Sat_1_1,3316.0234168603683,Sat_15_3,2778.3409779788485,1,Sat_2_1,2184.0670300286965,0
'15 Dec 2025 08:00:00.000,Sat_1_2,Sat_1_3,3316.023416860368,Sat_1_1,3316.023416860368,Sat_15_3,2189.200361019671,0,Sat_2_1,2045.3075064714747,0
'15 Dec 2025 09:00:00.000,Sat_1_2,Sat_1_3,3316.0234168603683,Sat_1_1,3316.0234168603656,Sat_15_3,1568.2153652680122,0,Sat_2_1,671.4202095809275,0
'15 Dec 2025 10:00:00.000,Sat_1_2,Sat_1_3,3316.0234168603674,Sat_1_1,3316.0234168603683,Sat_15_2,2197.3840275756766,1,Sat_2_1,1119.040292072779,0
'15 Dec 2025 11:00:00.000,Sat_1_2,Sat_1_3,3316.02341686032,Sat_1_1,3316.0234168603683,Sat_15_3,2770.8047675523567,1,Sat_2_1,2222.308203556283,0
'15 Dec 2025 12:00:00.000,Sat_1_2,Sat_1_3,3316.0234168603665,Sat_1_1,3316.023416860319,Sat_15_3,2119.5782736249016,0,Sat_2_1,1981.2310441565314,0
'15 Dec 2025 13:00:00.000,Sat_1_2,Sat_1_3,3316.02341686037,Sat_1_1,3316.0234168603206,Sat_15_3,1586.9357773624552,0,Sat_2_1,545.0989987999201,0
'15 Dec 2025 14:00:00.000,Sat_1_2,Sat_1_3,3316.0234168603674,Sat_1_1,3316.0234168603197,Sat_15_2,2263.302582348898,1,Sat_2_1,1232.5145565299026,0
'15 Dec 2025 15:00:00.000,Sat_1_2,Sat_1_3,3316.02341686032,Sat_1_1,3316.0234168603197,Sat_15_3,2757.0350648356657,1,Sat_2_1,2253.2166448644366,0
'15 Dec 2025 16:00:00.000,Sat_1_2,Sat_1_3,3316.023416860321,Sat_1_1,3316.0234168603197,Sat_15_3,2049.487138692318,0,Sat_2_1,1910.6236725342098,0
'15 Dec 2025 17:00:00.000,Sat_1_2,Sat_1_3,3316.0234168603206,Sat_1_1,3316.02341686032,Sat_15_3,1615.9459399902464,0,Sat_2_1,417.85081406798014,0
'15 Dec 2025 18:00:00.000,Sat_1_2,Sat_1_3,3316.0234168603215,Sat_1_1,3316.0234168603197,Sat_15_2,2328.8588834737166,1,Sat_2_1,1341.9874142109243,0
'15 Dec 2025 19:00:00.000,Sat_1_2,Sat_1_3,3316.02341686032,Sat_1_1,3316.0234168603192,Sat_15_3,2737.1214656634606,1,Sat_2_1,2276.6897015863583,0
'15 Dec 2025 20:00:00.000,Sat_1_2,Sat_1_3,3316.023416860321,Sat_1_1,3316.0234168603183,Sat_15_3,1979.852176401839,0,Sat_2_1,1833.720746789708,0
'15 Dec 2025 21:00:00.000,Sat_1_2,Sat_1_3,3316.023416860323,Sat_1_1,3316.0234168603197,Sat_15_3,1654.3338289891715,0,Sat_2_1,291.2436348319257,0
'15 Dec 2025 22:00:00.000,Sat_1_2,Sat_1_3,3316.0234168602246,Sat_1_1,3316.0234168603197,Sat_15_2,2393.2520297717474,1,Sat_2_1,1447.080684436076,0
'15 Dec 2025 23:00:00.000,Sat_1_2,Sat_1_3,3316.023416860225,Sat_1_1,3316.023416860321,Sat_15_3,2711.19512288889,1,Sat_2_1,2292.6494334481426,0
'16 Dec 2025 00:00:00.000,Sat_1_2,Sat_1_3,3316.023416860321,Sat_1_1,3316.023416860226,Sat_15_3,1911.6928977472523,0,Sat_2_1,1750.778971832906,0
'15 Dec 2025 00:00:00.000,Sat_1_3,Sat_1_4,3316.023416860415,Sat_1_2,3316.0234168604156,Sat_15_4,1760.626712251337,0,Sat_2_2,1528.198220878806,0
'15 Dec 2025 01:00:00.000,Sat_1_3,Sat_1_4,3316.0234168604206,Sat_1_2,3316.023416860412,Sat_15_3,1790.5069207997035,1,Sat_2_2,192.86657229130418,0
'15 Dec 2025 02:00:00.000,Sat_1_3,Sat_1_4,3316.02341686043,Sat_1_2,3316.023416860405,Sat_15_3,2594.5950341365965,0,Sat_2_2,1767.4621529759725,0
'15 Dec 2025 03:00:00.000,Sat_1_3,Sat_1_4,3316.023416860429,Sat_1_2,3316.0234168604034,Sat_15_4,2580.486625969077,1,Sat_2_2,2290.1220454484205,0
'15 Dec 2025 04:00:00.000,Sat_1_3,Sat_1_4,3316.023416860441,Sat_1_2,3316.0234168603915,Sat_15_4,1706.312432349722,0,Sat_2_2,1426.8892485607462,0
'15 Dec 2025 05:00:00.000,Sat_1_3,Sat_1_4,3316.023416860437,Sat_1_2,3316.0234168603943,Sat_15_3,1826.9883116276148,1,Sat_2_2,315.81864424684403,0
'15 Dec 2025 06:00:00.000,Sat_1_3,Sat_1_4,3316.02341686044,Sat_1_2,3316.0234168603934,Sat_15_3,2646.1481954875194,0,Sat_2_2,1849.244085829654,0
'15 Dec 2025 07:00:00.000,Sat_1_3,Sat_1_4,3316.0234168604416,Sat_1_2,3316.023416860393,Sat_15_4,2530.743970300989,1,Sat_2_2,2272.6879732627394,0
'15 Dec 2025 08:00:00.000,Sat_1_3,Sat_1_4,3316.0234168604625,Sat_1_2,3316.0234168603674,Sat_15_4,1658.8716264598222,0,Sat_2_2,1320.9106460151208,0
'15 Dec 2025 09:00:00.000,Sat_1_3,Sat_1_4,3316.0234168604643,Sat_1_2,3316.0234168603693,Sat_15_3,1870.944938501135,1,Sat_2_2,442.75424112985417,0
'15 Dec 2025 10:00:00.000,Sat_1_3,Sat_1_4,3316.023416860468,Sat_1_2,3316.0234168603665,Sat_15_3,2693.40903814109,0,Sat_2_2,1924.9353176114828,0
'15 Dec 2025 11:00:00.000,Sat_1_3,Sat_1_4,3316.023416860513,Sat_1_2,3316.02341686032,Sat_15_4,2476.4759823003483,1,Sat_2_2,2247.753862562214,0
'15 Dec 2025 12:00:00.000,Sat_1_3,Sat_1_4,3316.023416860466,Sat_1_2,3316.023416860368,Sat_15_4,1619.5598604086942,0,Sat_2_2,1210.6248496559922,0
'15 Dec 2025 13:00:00.000,Sat_1_3,Sat_1_4,3316.023416860463,Sat_1_2,3316.0234168603706,Sat_15_3,1921.305251122556,1,Sat_2_2,569.908134848271,0
'15 Dec 2025 14:00:00.000,Sat_1_3,Sat_1_4,3316.023416860464,Sat_1_2,3316.0234168603674,Sat_15_3,2735.990840318869,0,Sat_2_2,1994.2832664764398,0
'15 Dec 2025 15:00:00.000,Sat_1_3,Sat_1_4,3316.0234168605143,Sat_1_2,3316.0234168603206,Sat_15_4,2418.12022077187,1,Sat_2_2,2215.4025081474783,0
'15 Dec 2025 16:00:00.000,Sat_1_3,Sat_1_4,3316.02341686051,Sat_1_2,3316.0234168603206,Sat_15_4,1589.516206463178,0,Sat_2_2,1096.4140124610583,0
'15 Dec 2025 17:00:00.000,Sat_1_3,Sat_1_4,3316.0234168605125,Sat_1_2,3316.0234168603206,Sat_15_3,1976.9421529531369,1,Sat_2_2,695.9399433992949,0
'15 Dec 2025 18:00:00.000,Sat_1_3,Sat_1_4,3316.023416860511,Sat_1_2,3316.023416860321,Sat_15_4,2769.6487373653067,1,Sat_2_2,2057.056829613557,0
'15 Dec 2025 19:00:00.000,Sat_1_3,Sat_1_4,3316.0234168605116,Sat_1_2,3316.0234168603197,Sat_15_4,2356.17367135817,0,Sat_2_2,2175.7413603685995,0
'15 Dec 2025 20:00:00.000,Sat_1_3,Sat_1_4,3316.023416860513,Sat_1_2,3316.023416860321,Sat_15_4,1569.6787941496325,0,Sat_2_2,978.682258356087,0
'15 Dec 2025 21:00:00.000,Sat_1_3,Sat_1_4,3316.02341686051,Sat_1_2,3316.0234168603233,Sat_15_3,2036.720214700565,1,Sat_2_2,820.0824868799359,0
'15 Dec 2025 22:00:00.000,Sat_1_3,Sat_1_4,3316.0234168606084,Sat_1_2,3316.023416860225,Sat_15_4,2777.8435033006813,1,Sat_2_2,2113.047028260367,0
'15 Dec 2025 23:00:00.000,Sat_1_3,Sat_1_4,3316.0234168606103,Sat_1_2,3316.023416860225,Sat_15_4,2291.1977015423986,0,Sat_2_2,2128.9021915471276,0
'16 Dec 2025 00:00:00.000,Sat_1_3,Sat_1_4,3316.023416860511,Sat_1_2,3316.0234168603215,Sat_15_4,1560.7021563438946,0,Sat_2_2,857.8609972665835,0
'15 Dec 2025 00:00:00.000,Sat_1_4,Sat_1_5,3316.0234168604156,Sat_1_3,3316.023416860415,Sat_15_5,1584.6387998672058,0,Sat_2_3,557.5086811099451,0
'15 Dec 2025 01:00:00.000,Sat_1_4,Sat_1_5,3316.0234168604156,Sat_1_3,3316.0234168604206,Sat_15_4,2256.8591144655156,1,Sat_2_3,1221.5886601435702,0
