UTCG,r_x,r_y,r_z,v_x,v_y,v_z,a_x,a_y,a_z,lla_Lat,lla_Lon,lla_Alt,coe_Semi-major_Axis,coe_Eccentricity,coe_Inclination,coe_RAAN,coe_Arg_of_Perigee,coe_True_Anomaly
15 Dec 2025 00:00:00.000,5533.8200019281085,-3217.728713024767,2649.932151283384,4.386477205439798,3.164396915779092,-5.317798221864013,-0.006633052017315237,0.003856894861716785,-0.0031763118055329743,22.738227813002712,-113.7798005982103,553.1735527740846,6928.1370000000015,4.265526918568054e-16,53.00000455836285,167.9999908372479,0.0,151.3846306077818
15 Dec 2025 00:01:00.000,5784.884193299703,-3021.061500837491,2325.3783711554906,3.9793196040691834,3.388819324485276,-5.49677060805352,-0.006933987327909498,0.003621161887372832,-0.0027872890138168475,19.8520935836102,-111.42266998459634,552.449065419322,6928.136999999998,3.6295514845415716e-17,53.00000455837032,167.99999083725626,0.0,155.14835722114938
15 Dec 2025 00:02:00.000,6010.995005254675,-2811.3627928845112,1990.793958288239,3.554997013982846,3.5986238961607455,-5.6520324067939605,-0.007205012546809307,0.00336980885504954,-0.002386243115331155,16.92823875896024,-109.15834512711804,551.800042001017,6928.136999999999,1.972307728096778e-16,53.0000045583778,167.99999083726334,0.0,158.912083834517
15 Dec 2025 00:03:00.000,6211.177097804934,-2589.5371347446835,1647.622158824876,3.1153397713173003,3.7929056285782456,-5.782913888762598,-0.007444958593547052,0.0031039199882804723,-0.0019749040410708698,13.973535061065572,-106.97053607996543,551.2377350358076,6928.136999999999,2.1327634592840269e-16,53.00000455838528,167.99999083727167,0.0,162.6758104478846
15 Dec 2025 00:04:00.000,6384.566975754806,-2356.5413821870266,1297.3432610185287,2.6622443589793465,3.9708264780325697,-5.888850490319256,-0.007652790449176019,0.002824642211628906,-0.0015550461221454578,10.99423969437721,-104.8440984032333,550.7719010320641,6928.137000000003,1.8694353305054806e-16,53.000004558392774,167.99999083727877,0.0,166.43953706125217
15 Dec 2025 00:05:00.000,6530.416713429965,-2113.380573725888,941.4682099368026,2.1976652260742258,4.1316189742833975,-5.969385248779037,-0.007827611620875504,0.0025331802033718275,-0.001128480436115313,7.996130264263863,-102.76482659740138,550.4106278526679,6928.137000000001,1.8428201553868734e-16,53.00000455840022,167.99999083728588,0.0,170.20326367461976
15 Dec 2025 00:06:00.000,6648.097180891006,-1861.1035953389346,581.5320899267259,1.7236063572946339,4.274589531075207,-6.024170773543111,-0.0079686680090159,0.002230791199062194,-0.0006970469948205819,4.98462430678204,-100.7192466187452,550.1601912379822,6928.137000000003,2.4557513963933085e-16,53.0000045584077,167.99999083729296,0.0,173.96699028798736
15 Dec 2025 00:07:00.000,6737.10075771613,-1600.7986560461898,219.08750295372775,1.2421126286350772,4.399121437955445,-6.052970744584952,-0.008075351160004268,0.0019187795683818921,-0.0002626068074005745,1.964886879099204,-98.69441120367917,550.0249432467544,6928.1370000000015,4.175791585345197e-16,53.00000455841514,167.99999083730128,0.0,177.73071690135495
15 Dec 2025 00:08:00.000,6797.043522646406,-1333.588593867909,-144.30212862247183,0.7552609867200664,4.504677520484958,-6.05566093182828,-0.008147200890878363,0.0015984911886801625,0.00017296614725969978,-1.058070398957453,-96.67769892574078,550.0072347754166,6928.1370000000015,3.978906571447323e-16,53.0000045584226,167.99999083730967,0.0,181.49444351472255
15 Dec 2025 00:09:00.000,6827.666909648922,-1060.6260324078823,-507.06930594628045,0.26515148979363024,4.590802457366193,-6.032229731019531,-0.00818390727432837,0.0012713076394658557,0.0006077930040286315,-4.079295564035273,-94.65661622265573,550.1073736644722,6928.136999999999,2.268469677838482e-16,53.000004558430085,167.99999083731677,0.0,185.25817012809011
15 Dec 2025 00:10:00.000,6828.838823253964,-783.0884089552688,-867.649215148805,-0.22610175098420915,4.65712474449377,-5.982778213783372,-0.008185311975583436,0.0009386402428967916,0.0010399981161041615,-7.0938045863177255,-92.61860072029219,550.3236192106241,6928.137000000002,3.7783013126661365e-16,53.00000455843753,167.99999083732257,0.0,189.0218967414577
15 Dec 2025 00:11:00.000,6800.554208355236,-502.1728955511099,-1224.4864772486108,-0.7163796908590997,4.703358297455393,-5.907519691645332,-0.008151408935396435,0.0006019239759724288,0.0014677171457075221,-10.096488539557596,-90.55082384965063,550.6522131919911,6928.137000000002,3.7079124922437335e-16,53.00000455844498,167.9999908373322,0.0,192.78562335482528
15 Dec 2025 00:12:00.000,6742.93507201514,-219.09123493046445,-1576.041857354629,-1.203567492083652,4.729303685571032,-5.806778795902161,-0.008082344396180583,0.00026261128069313063,0.0018891051059949499,-13.082016478493495,-88.43999092916093,551.0874467997967,6928.136999999998,3.6295514845415716e-17,53.00000455845244,167.99999083733928,0.0,196.54934996819287
15 Dec 2025 00:13:00.000,6656.229957181623,64.9354863912693,-1920.798904230745,-1.6855636463746113,4.734848992146741,-5.680990077308932,-0.007978416271185984,-7.783420112198844e-05,0.002302344319498189,-16.044730764718988,-86.27213760650056,551.6217621716044,6928.136999999998,3.133390745635204e-16,53.0000045584599,167.99999083734636,0.0,200.3130765815605
15 Dec 2025 00:14:00.000,6540.812870585941,348.68210533307564,-2257.270491581991,-2.160289039870156,4.719970297232822,-5.530696131623215,-0.007840072859436158,-0.00041794394132361345,0.0027056522587647013,-18.97853148011447,-84.0324229791681,552.2458865561114,6928.137000000001,2.177730890724943e-16,53.00000455846734,167.99999083735344,0.0,204.07680319492806
