Node Name,Node IP,Network Card,Time(YYYY-MM-DD HH:MM:SS),Inbound Traffic Rate(B/s)
k8s-worker11,10.1.1.10,cni0,2026-01-18 04:27:16,6482.916603394827 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 05:27:16,6484.233333333334 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 06:27:16,6486.194393312567 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 07:27:16,6485.109204108163 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 08:27:16,6484.5759830519155 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 09:27:16,6485.56116458828 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 10:27:16,6483.42043177618 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 11:27:16,6483.444444444444 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 12:27:16,6482.835248758339 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 13:27:16,6481.913029951742 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 14:27:16,6477.140740740741 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 15:27:16,6486.433333333333 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 16:27:16,6486.218518518519 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 17:27:16,6483.072159526516 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 18:27:16,6485.475872132859 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 19:27:16,6668.072844714239 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 20:27:16,6482.22962962963 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 21:27:16,6484.666666666667 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 22:27:16,6485.6 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-18 23:27:16,6480.0777777777785 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 00:27:16,6483.264752832417 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 01:27:16,6486.018518518519 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 02:27:16,6485.653756837938 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 03:27:16,6486.592592592593 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 04:27:16,6481.424005274092 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 05:27:16,6476.542505712983 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 06:27:16,6484.346354272762 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 07:27:16,6482.574074074074 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 08:27:16,6478.546216837839 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 09:27:16,6479.040740740741 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 10:27:16,6481.63154951278 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 11:27:16,6481.118518518519 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 12:27:16,6483.5259259259265 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 13:27:16,6484.711111111112 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 14:27:16,6483.3481481481485 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 15:27:16,6488.5259259259265 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 16:27:16,6672.059259259259 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 17:27:16,6487.849954999832 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 18:27:16,6487.446249800924 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 19:27:16,6487.222222222223 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 20:27:16,6480.225925925926 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 21:27:16,6483.105492983306 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 22:27:16,6484.062962962963 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-19 23:27:16,6487.898103326308 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 00:27:16,6483.8 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 01:27:16,6662.746899062588 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 02:27:16,6476.492592592593 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 03:27:16,6484.114814814815 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 04:27:16,6486.92772936196 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 05:27:16,6489.67226047311 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 06:27:16,6853.511111111111 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 07:27:16,6847.30313815977 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 08:27:16,6672.939529405664 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 09:27:16,6669.276552876121 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 10:27:16,6486.074074074074 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 11:27:16,6485.205500761113 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 12:27:16,6486.437037037037 B/s
k8s-worker11,10.1.1.10,cni0,2026-01-20 13:27:16,6485.657460527925 B/s
